source,relation,target,attributes
entity:9de5240df532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_filed_all_reports,entity:a6105c0a611b,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:c6698873b4f1,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:a5e87248b4ea,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,is_a_large_accelerated_filer,entity:a6105c0a611b,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,registered,entity:c1c17bca6cff,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_submitted_electronically_every_interactive_data_file,entity:a6105c0a611b,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:51ff63a5b532,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_a_principal_executive_office_at,entity:fed025b82f52,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,is_a_shell_company,entity:a6105c0a611b,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:4b8c66e39b72,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
entity:fe7f2bba2acf,has_a_telephone_number,entity:cbfbc831fe39,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:fe7f2bba2acf,has_filed_a_report_on_and_attestation_to_its_managements_assessment_of_the_effectiveness_of_its_internal_control_over_financial_reporting,entity:a6105c0a611b,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""llm_triple"", ""confidence"": 0.7}"
entity:61f1cc4cd1e2,is_mentioned_in,chunk:text_73a5224d4e0d0dc4,"{""chunk_id"": ""text_73a5224d4e0d0dc4"", ""source"": ""system"", ""confidence"": 1.0}"
